"ID","Year","Age","AgeGroup","Weight","RTL","qPCRPlate","qPCRRow","Fecundity","Twinning","LambSex","LambSurvival","ReproIndex","ReproStatus"
1077,1998,15,3,24.9,2.83283697444205,43,"D",0,0,4,0,1,"1"
1663,2001,15,3,25.3,1.83531705779105,83,"F",0,0,4,0,1,"1"
2066,1998,10,3,23.3,1.60146937561501,49,"C",1,0,1,1,3,"3"
2066,1999,11,3,20.9,1.44756696893555,78,"E",1,0,1,1,3,"3"
2071,1998,10,3,19.3,1.73856813037875,49,"E",1,0,1,1,3,"3"
2073,1998,10,3,23.1,1.64483976115237,90,"A",1,1,2,1,6,"3"
2163,1998,9,3,20.4,2.34275131050144,90,"G",1,0,2,1,3,"3"
2168,1998,9,3,20.5,1.76748861278863,51,"E",1,0,2,1,3,"3"
2178,1998,9,3,26.5,1.5872436760258,82,"G",1,0,1,1,3,"3"
2223,1998,8,3,24,1.84205571128234,53,"A",1,0,1,1,3,"3"
2223,1999,9,3,23.9,1.8184319186157,63,"B",1,1,3,1,6,"3"
2223,2000,10,3,24,2.19557650945009,40,"G",1,0,2,1,3,"3"
2223,2001,11,3,23.7,2.09335766747807,9,"B",1,0,1,1,3,"3"
2236,1998,8,3,24.3,1.43770433846436,50,"C",1,0,1,1,3,"3"
2245,1998,8,3,22.6,1.69234400785661,60,"H",1,0,2,1,3,"3"
2245,2001,11,3,24.6,1.85757316836182,11,"G",0,0,4,0,1,"1"
2260,1998,8,3,22.9,1.55231602265594,48,"F",1,0,1,1,3,"3"
2262,1998,8,3,22,1.60676624546715,53,"H",1,1,3,1,6,"3"
2262,1999,9,3,22.6,1.80560862448042,79,"G",1,0,2,1,3,"3"
2341,2001,11,3,25.3,1.64544107626136,20,"A",1,0,4,1,3,"3"
2341,2002,12,3,25.6,1.3502844777009,57,"D",0,0,4,0,1,"1"
2341,2003,13,3,25.35,2.00295337526179,70,"B",0,0,4,0,1,"1"
2353,1998,8,3,21.5,1.99301364764421,41,"F",1,1,3,1,6,"3"
2360,2000,10,3,25.6,1.64029551047486,26,"B",0,0,4,0,1,"1"
2360,2001,11,3,23.2,1.55091673612396,93,"B",1,0,1,1,3,"3"
2368,2000,10,3,24,1.87378430308844,25,"C",1,0,1,1,3,"3"
2376,1998,8,3,22,2.01814679046257,41,"A",1,0,2,1,3,"3"
2378,1998,8,3,22.5,1.45173208871228,82,"E",1,0,2,1,3,"3"
2378,2001,11,3,24.6,1.83381007796303,19,"A",0,0,4,0,1,"1"
2417,1998,7,3,21.8,1.82255416500744,88,"C",0,0,4,0,1,"1"
